Datetime,Latitude,Longitude,Elevation,Pressure,Speed,Bearing
2025-03-09 02:00:00,73.369391292048,-34.79489912008786,0.8,925,20.4,212
2025-03-09 02:00:00,73.369391292048,-34.79489912008786,1.0,900,20.3,212
2025-03-09 02:00:00,73.369391292048,-34.79489912008786,1.5,850,20.5,212
2025-03-09 02:00:00,73.369391292048,-34.79489912008786,1.9,800,20.2,213
2025-03-09 02:00:00,73.369391292048,-34.79489912008786,3.0,700,20.3,211
2025-03-09 02:00:00,73.369391292048,-34.79489912008786,4.2,600,47.1,250
2025-03-09 02:00:00,73.369391292048,-34.79489912008786,5.6,500,85.4,274
2025-03-09 02:00:00,73.369391292048,-34.79489912008786,7.2,400,166.2,275
2025-03-09 02:00:00,73.369391292048,-34.79489912008786,9.2,300,236.7,286
2025-03-09 02:00:00,73.369391292048,-34.79489912008786,10.4,250,257.3,289
2025-03-09 02:00:00,73.369391292048,-34.79489912008786,11.8,200,162.7,285
2025-03-09 02:00:00,73.369391292048,-34.79489912008786,13.5,150,119.4,280
2025-03-09 02:00:00,73.369391292048,-34.79489912008786,15.8,100,125.0,282
2025-03-09 02:00:00,73.369391292048,-34.79489912008786,17.7,70,142.9,283
2025-03-09 02:00:00,73.369391292048,-34.79489912008786,19.3,50,134.7,289
2025-03-09 02:00:00,73.369391292048,-34.79489912008786,22.0,30,105.8,295
2025-03-09 02:00:00,73.36868855645945,-34.7968599338362,0.11,1000,20.4,212
2025-03-09 02:00:00,73.36868855645945,-34.7968599338362,0.32,975,20.3,212
2025-03-09 02:00:00,73.36868855645945,-34.7968599338362,0.5,950,20.2,212
2025-03-09 02:00:00,73.36868855645945,-34.7968599338362,0.8,925,20.4,212
2025-03-09 02:00:00,73.36868855645945,-34.7968599338362,1.0,900,20.3,212
2025-03-09 02:00:00,73.36868855645945,-34.7968599338362,1.5,850,20.5,212
2025-03-09 02:00:00,73.36868855645945,-34.7968599338362,1.9,800,20.2,213
2025-03-09 02:00:00,73.36868855645945,-34.7968599338362,3.0,700,20.3,211
2025-03-09 02:00:00,73.36868855645945,-34.7968599338362,4.2,600,47.1,250
2025-03-09 02:00:00,73.36868855645945,-34.7968599338362,5.6,500,85.4,274
2025-03-09 02:00:00,73.36868855645945,-34.7968599338362,7.2,400,166.2,275
2025-03-09 02:00:00,73.36868855645945,-34.7968599338362,9.2,300,236.7,286
2025-03-09 02:00:00,73.36868855645945,-34.7968599338362,10.4,250,257.3,289
2025-03-09 02:00:00,73.36868855645945,-34.7968599338362,11.8,200,162.7,285
2025-03-09 02:00:00,73.36868855645945,-34.7968599338362,13.5,150,119.4,280
